distance_km, height_m, lat, lng
4.855, 557.6, 48.10686359092693, 13.619487689887023
4.875, 557.7, 48.10693834383289, 13.619236597274721
4.895, 557.7, 48.10701309619188, 13.618985503931981
4.916, 557.4, 48.10708784800392, 13.618734409858916
4.936, 557.3, 48.10717401144247, 13.618491973412688
4.956, 557.3, 48.1072649805575, 13.618253182561375
4.977, 557.1, 48.10735594917786, 13.618014390864687
4.997, 556.6, 48.10744691730351, 13.617775598322737
5.017, 556, 48.1075378849345, 13.617536804935526
5.038, 556.2, 48.10762614931993, 13.617295805675326
5.058, 556.2, 48.10771078781181, 13.617051847846142
5.078, 556.5, 48.10780474149919, 13.616816449827184
5.098, 557.2, 48.10791530608707, 13.6165971554409
5.119, 557.6, 48.10803162305682, 13.61638446258678
5.139, 557.8, 48.10814793963411, 13.61617176876996
5.159, 558.6, 48.10826902132741, 13.61596548802379
5.18, 559.1, 48.10839786218479, 13.615769650054062
5.2, 560.1, 48.10851974353707, 13.615564658457629
5.22, 561.1, 48.10862289410719, 13.615338366937067
5.241, 561.6, 48.10870982028379, 13.615096215281483
5.261, 561.8, 48.10880877701301, 13.614864940695497
5.281, 561.8, 48.10891188296883, 13.614637646315941
5.302, 562, 48.10905281842683, 13.614461478358407
5.322, 562.5, 48.10919375361559, 13.614285309434422
5.342, 563.4, 48.10933468853512, 13.614109139544325
5.363, 564.7, 48.10945873396727, 13.613906869580433
5.383, 565.9, 48.10958414588769, 13.613706348489245
5.403, 567.1, 48.10971639349284, 13.613515667033084
5.423, 568.2, 48.10984864078255, 13.613324984595693
5.444, 569.1, 48.10997950964556, 13.613132407270655
5.464, 569.8, 48.11009501719784, 13.612918718778928
5.484, 570.2, 48.11020042064342, 13.61269497983244
5.505, 570.5, 48.11028712860565, 13.612452645328517
5.525, 570.9, 48.11037383605841, 13.612210310006844
5.545, 571.4, 48.11046054300169, 13.611967973867422
5.566, 572.2, 48.11054724943551, 13.61172563691025
5.586, 573.4, 48.11064146537363, 13.611489732406653
5.606, 574.6, 48.11073697562085, 13.611254936184423
5.627, 575.9, 48.11083913332315, 13.611027131684068
5.647, 577.4, 48.11095418811651, 13.610812892438616
5.667, 578.8, 48.11106924251167, 13.610598652233875
